frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Dec 15, 2016 08:17:25.912248000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:26.111393000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:26.111455000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.290095000 +07,10.12.15.101,185.153.198.117,49207,80,GET,view.ccnotice.net,
Dec 15, 2016 08:17:28.290114000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.493926000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.493955000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.493958000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.493962000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.494131000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.494819000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.494829000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.494834000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.494836000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.494953000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.495336000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.495353000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.495419000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.497757000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.694125000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.694146000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.694328000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.694334000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.694340000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.694342000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.694412000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.701992000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.702045000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.702317000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.702326000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.702380000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.702683000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.702688000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.702691000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.702758000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.703139000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.703145000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.703148000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.703149000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.703221000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.896160000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.896266000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.896355000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.896466000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.896510000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.896642000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.896648000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.901676000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.901723000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.902010000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.902017000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.902102000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.902381000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.902401000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.902403000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.902457000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.902540000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.902544000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.902546000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.902616000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:28.903006000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.903014000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:28.903080000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:29.117115000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.117130000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.117134000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.117137000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.117140000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.117142000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.117146000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.117349000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:29.117411000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.117656000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:29.317789000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.317890000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:29.719795000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:29.719868000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:30.523094000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:30.523188000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:32.123171000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:32.123244000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:35.323280000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:35.323399000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.686402000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.686869000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.686873000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.686875000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.686896000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.686899000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.686902000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687084000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.687127000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.687243000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687251000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687253000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687256000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687258000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687262000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687264000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687345000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.687407000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687410000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.687455000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.687694000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687697000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687698000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687700000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687701000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687705000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:17:38.687872000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.687918000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.688071000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.688114000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:20:37.536038000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:40.546760000 +07,10.12.15.101,185.153.198.117,49208,80,,,
